"Tipo de contacto","Fecha hora contacto","Coorde.nadaX","coorden.adaY"
"Captura",2011-05-02,455125,3098328
"Captura",2011-05-02,454845,3098297
"Captura",2011-05-02,454741,3098316.01
"Recogida",2011-05-02,455299,3098185
"Captura",2011-05-02,454846,3097968
"Captura",2011-05-03,455293.66,3098261.04
"Captura",2011-05-03,455297.35,3098240.84
"Captura",2011-05-03,455171.01,3098307
"Captura",2011-05-03,455218,3098325.01
"Captura",2011-05-03,454898,3098339
"Captura",2011-05-03,454897,3098334
"Captura",2011-05-03,455546,3098342
"Recogida",2011-05-03,459275,3098005
"Captura",2011-05-04,455272.32,3098228.18
"Captura",2011-05-04,455307.7,3098233.9
"Captura",2011-05-04,455003,3098321
"Captura",2011-05-04,454740.01,3098334
"Captura",2011-05-04,454766,3098316
"Recogida",2011-05-04,456736,3098380
"Recogida",2011-05-04,433111,3110505
"Captura",2011-05-05,432668,3110820
"Captura",2011-05-05,432665,3110824
"Captura",2011-05-05,432742,3110615
"Recogida",2011-05-05,434898,3112361
"Captura",2011-05-06,455413.32,3098267.73
"Captura",2011-05-06,455414.35,3098257.41
"Recogida",2011-05-06,453779,3097854
"Captura",2011-05-06,455229,3098430
"Captura",2011-05-07,455473,3098309
"Captura",2011-05-07,455450,3098294
"Captura",2011-05-07,455395,3098277
"Recogida",2011-05-07,432315.01,3114509
"Captura",2011-05-07,455494,3098204
"Recogida",2011-05-08,454862,3097822
"Captura",2011-05-08,455246,3098318
"Captura",2011-05-09,459068,3097203
"Captura",2011-05-09,432724,3110728
"Recogida",2011-05-09,455599,3098306
"Recogida",2011-05-09,455344,3098182
"Recogida",2011-05-09,451942,3098791
"Recogida",2011-05-10,454928,3097811
"Captura",2011-05-10,455346,3098167
"Captura",2011-05-10,455343,3098163
"Captura",2011-05-10,432681,3110805
"Captura",2011-05-10,433223,3110552
"Recogida",2011-05-10,454896,3098360
"Recogida",2011-05-10,450039,3105845
"Recogida",2011-05-10,455920,3098378
"Recogida",2011-05-10,432550.01,3111083
"Recogida",2011-05-10,432550.01,3111083
"Recogida",2011-05-10,454284,3098158
"Captura",2011-05-10,454968,3098305
"Captura",2011-05-11,455579,3098320
"Captura",2011-05-11,455135,3098261
"Captura",2011-05-11,455272,3098177
"Captura",2011-05-11,455455.01,3098249
"Recogida",2011-05-11,455214,3098180
"Captura",2011-05-12,455447,3098269
"Captura",2011-05-12,454722,3098408
"Captura",2011-05-12,454728,3097999.01
"Captura",2011-05-12,454728,3097999.01
"Captura",2011-05-12,454728,3097999.01
